case,reason,commit
112__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
136__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
143__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
220__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
252__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
256__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
261__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
262__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
286__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
288__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
305__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
307__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
339__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
359__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
369__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
370__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
398__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
450__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
459__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
478__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
486__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
499__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
510__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
511__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
542__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
592__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
614__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
619__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
621__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
630__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
631__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
636__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
639__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
648__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
65__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
665__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
670__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
681__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
687__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
696__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
702__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
704__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
731__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
739__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
742__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
747__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
750__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
753__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
756__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
758__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
772__fused,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
84__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
8__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
CTC-1018399231__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
CTC-3105782108__spine_only,passes; sole caveat is FOV truncation (or no findings beyond OK),58f2f13
