id,name,records,pct
0,background,802,100.00
1,C1,2,0.25
6,C6,1,0.12
10,T3,1,0.12
11,T4,9,1.12
12,T5,34,4.24
13,T6,155,19.33
14,T7,335,41.77
15,T8,545,67.96
16,T9,688,85.79
17,T10,765,95.39
18,T11,798,99.50
19,T12,801,99.88
20,L1,802,100.00
21,L2,802,100.00
22,L3,802,100.00
23,L4,802,100.00
24,L5,793,98.88
25,L6,18,2.24
26,sacrum,802,100.00
29,S1,801,99.88
30,left_hip,802,100.00
31,right_hip,802,100.00
32,femur_left,802,100.00
33,femur_right,802,100.00
36,rib_left_3,5,0.62
37,rib_left_4,65,8.10
38,rib_left_5,316,39.40
39,rib_left_6,635,79.18
40,rib_left_7,780,97.26
41,rib_left_8,800,99.75
42,rib_left_9,802,100.00
43,rib_left_10,802,100.00
44,rib_left_11,802,100.00
45,rib_left_12,787,98.13
48,rib_right_3,5,0.62
49,rib_right_4,62,7.73
50,rib_right_5,310,38.65
51,rib_right_6,624,77.81
52,rib_right_7,773,96.38
53,rib_right_8,800,99.75
54,rib_right_9,801,99.88
55,rib_right_10,801,99.88
56,rib_right_11,802,100.00
57,rib_right_12,788,98.25
74,rib_left_lumbar,13,1.62
75,rib_right_lumbar,16,2.00
77,hardware_cage,1,0.12
80,hardware_arthroplasty,8,1.00
81,hardware_si_screw,1,0.12
82,hardware_osteosynthesis,1,0.12
