id,name,records,pct
0,?,802,100.0
1,?,2,0.25
6,?,1,0.12
10,?,1,0.12
11,?,9,1.12
12,?,34,4.24
13,?,155,19.33
14,?,335,41.77
15,?,545,67.96
16,?,688,85.79
17,?,764,95.26
18,?,797,99.38
19,?,800,99.75
20,?,802,100.0
21,?,802,100.0
22,?,802,100.0
23,?,802,100.0
24,?,793,98.88
25,?,17,2.12
26,?,801,99.88
29,?,800,99.75
30,?,801,99.88
31,?,801,99.88
32,?,801,99.88
33,?,801,99.88
36,?,5,0.62
37,?,64,7.98
38,?,316,39.4
39,?,635,79.18
40,?,779,97.13
41,?,799,99.63
42,?,801,99.88
43,?,801,99.88
44,?,801,99.88
45,?,789,98.38
48,?,5,0.62
49,?,61,7.61
50,?,310,38.65
51,?,624,77.81
52,?,773,96.38
53,?,799,99.63
54,?,800,99.75
55,?,800,99.75
56,?,801,99.88
57,?,789,98.38
74,?,12,1.5
75,?,15,1.87
255,?,1,0.12
