measure,level,n,median,q1,q3,p5,p95,mean,sd,unit
h_ant,T11,731,25.60,24.00,27.00,21.60,29.00,25.30,2.48,mm
h_ant,T12,745,27.20,25.60,28.80,24.00,30.40,27.16,2.25,mm
h_ant,L1,741,28.80,28.00,30.40,25.60,32.80,29.18,2.80,mm
h_ant,L2,723,30.40,28.80,31.20,27.20,33.60,30.19,2.40,mm
h_ant,L3,758,30.40,29.60,32.00,28.00,34.40,30.85,2.12,mm
h_ant,L4,772,31.20,29.60,32.00,28.00,34.40,30.95,2.18,mm
h_ant,L5,764,32.00,30.40,33.60,28.80,36.00,31.99,2.63,mm
h_post,T11,731,26.40,25.60,28.00,23.20,30.40,26.82,2.41,mm
h_post,T12,745,28.80,27.20,30.40,24.80,32.80,28.65,2.35,mm
h_post,L1,740,30.40,28.80,31.20,26.40,33.60,30.15,2.52,mm
h_post,L2,722,30.40,28.80,32.00,27.20,33.60,30.32,2.07,mm
h_post,L3,758,30.40,28.80,31.20,27.20,33.60,30.10,2.04,mm
h_post,L4,771,29.60,28.00,30.40,26.40,33.60,29.45,2.13,mm
h_post,L5,763,30.40,28.00,32.00,25.64,36.00,30.37,3.29,mm
endplate,T11,730,37.60,34.50,40.90,30.55,45.31,37.75,4.67,mm
endplate,T12,744,39.90,36.80,43.70,33.00,48.70,40.27,4.97,mm
endplate,L1,740,40.70,37.60,44.30,34.50,49.10,40.96,4.71,mm
endplate,L2,723,42.20,38.95,45.60,36.11,50.30,42.41,4.54,mm
endplate,L3,757,44.10,40.80,48.30,37.20,53.10,44.61,5.19,mm
endplate,L4,768,47.00,43.70,50.60,39.10,56.00,47.05,5.61,mm
endplate,L5,753,51.00,46.60,56.00,40.36,64.80,51.43,8.12,mm
canal_w,T11,737,20.30,18.80,21.90,16.40,24.42,20.36,2.46,mm
canal_w,T12,743,23.10,21.80,24.95,19.40,27.40,23.28,2.47,mm
canal_w,L1,741,23.90,22.50,25.60,20.30,28.10,24.11,2.46,mm
canal_w,L2,730,24.20,22.70,25.90,20.70,28.35,24.38,2.38,mm
canal_w,L3,771,25.00,23.60,26.70,21.30,29.30,25.19,2.61,mm
canal_w,L4,784,26.20,24.60,28.10,22.10,31.58,26.44,3.02,mm
canal_w,L5,761,30.00,27.90,32.40,24.60,36.50,30.26,3.75,mm
canal_ap,T11,689,16.20,15.10,17.20,11.94,18.96,15.95,2.42,mm
canal_ap,T12,707,17.30,16.40,18.55,14.26,20.10,17.19,2.42,mm
canal_ap,L1,706,17.30,16.30,18.70,14.10,20.30,17.22,2.38,mm
canal_ap,L2,688,16.80,14.97,18.00,7.87,20.30,16.01,3.47,mm
canal_ap,L3,715,15.70,12.60,17.95,7.00,20.66,15.09,4.13,mm
canal_ap,L4,753,17.50,15.60,19.10,9.28,22.70,17.12,3.82,mm
canal_ap,L5,749,21.10,18.90,23.20,16.20,26.40,20.95,3.51,mm
pedicle,T11,738,8.60,7.40,9.90,5.58,11.51,8.63,1.92,mm
pedicle,T12,742,8.10,6.60,9.50,4.51,11.70,8.10,2.19,mm
pedicle,L1,745,6.90,5.60,8.20,4.02,10.50,7.07,2.18,mm
pedicle,L2,735,6.90,5.70,8.30,3.97,10.63,7.08,2.19,mm
pedicle,L3,775,9.00,7.40,10.70,5.40,13.70,9.18,2.60,mm
pedicle,L4,785,12.20,10.40,14.30,8.20,17.38,12.47,2.91,mm
pedicle,L5,764,20.70,17.55,24.20,13.30,28.60,20.82,4.77,mm
disc,L1L2,799,8.80,8.00,9.60,6.40,11.20,8.79,1.65,mm
disc,L2L3,796,9.60,8.80,11.20,5.60,12.80,9.65,2.17,mm
disc,L3L4,798,10.40,8.80,11.72,6.40,13.60,10.20,2.11,mm
disc,L4L5,789,10.40,8.80,12.00,4.80,14.40,10.35,2.60,mm
disc,L5S1,622,9.60,7.20,12.00,4.00,15.19,9.57,3.35,mm
hu,L1,800,157.20,130.47,186.10,98.52,235.11,160.47,42.47,HU
hu,L2,802,157.30,129.50,189.10,95.91,237.57,161.00,43.33,HU
hu,L3,801,154.40,125.20,185.70,92.20,236.90,157.92,44.11,HU
hu,L4,800,158.40,132.20,189.80,97.18,241.05,163.50,44.98,HU
